Comando,IDProduto,CodProd,Disponivel,Preco,PrecoProm,DataPromInicio,DataPromFim
A,5474322,1081-26,TRUE,"26,45",23,03/01/2017 00:00,01/01/2049 00:00
A,4768915,p1081,TRUE,23,20,30/05/2017 00:00,01/01/2049 00:00
A,4768918,1081-1,TRUE,"35,9","20,00",08/03/2015 00:00,01/01/2049 00:00
A,4768924,p1081-8,FALSE,20,6,03/01/2017 00:00,01/01/2049 00:00
A,5600118,6010187,FALSE,"19,9","16,1",03/01/2017 00:00,01/01/2049 00:00
A,5686059,6010187-1,FALSE,"16,1",14,03/01/2017 00:00,01/01/2049 00:00
A,5686060,6010187-26,FALSE,"19,9","16,1",03/01/2017 00:00,01/01/2049 00:00
A,5639297,p1008,FALSE,14,"4,2",03/01/2017 00:00,01/01/2049 00:00
A,5639348,p1008-8,TRUE,14,"4,2",03/01/2017 00:00,01/01/2049 00:00
A,4768882,1015,TRUE,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
A,4768883,1015-1,TRUE,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
A,4768886,1015-8,TRUE,"43,9","37,31",08/03/2015 00:00,01/01/2049 00:00
A,5474776,1015-26,TRUE,"58,075","50,5",03/01/2017 00:00,01/01/2049 00:00
A,5473956,6010120-26,TRUE,"29,9","26,5",08/03/2015 00:00,01/01/2049 00:00
A,4768943,6010120,TRUE,23,"19,55",08/03/2015 00:00,01/01/2049 00:00
A,4768949,6010120-1,TRUE,23,"19,55",08/03/2015 00:00,01/01/2049 00:00
A,5117551,10108-8,TRUE,"22,35",19,24/03/2016 12:00,01/01/2049 00:00
A,5474905,10108-26,FALSE,"24,5","21,9",24/03/2016 12:00,01/01/2049 00:00
A,3890054,10108,TRUE,"22,35",19,24/03/2016 12:00,01/01/2049 00:00
A,4024306,10108-1,TRUE,"22,35",19,24/03/2016 12:00,01/01/2049 00:00
A,4024307,10108-2,TRUE,"22,35",19,24/03/2016 12:00,01/01/2049 00:00
A,2251508,1421,TRUE,113,93,24/03/2016 12:00,01/01/2049 00:00
A,4024172,1421-1,TRUE,113,93,24/03/2016 12:00,01/01/2049 00:00
A,4024173,P1421-8/1,FALSE,93,"27,9",03/01/2017 00:00,01/01/2049 00:00
A,5021158,1421-2,TRUE,113,93,24/03/2016 12:00,01/01/2049 00:00
A,5473975,1421-26/1,TRUE,127,107,24/03/2016 12:00,01/01/2049 00:00
A,5648268,P1425,FALSE,81,"24,3",03/01/2017 00:00,01/01/2049 00:00
A,5648344,P1425-8/1,TRUE,81,"24,3",03/01/2017 00:00,01/01/2049 00:00
A,5473600,6012109-2/P,FALSE,920,460,06/10/2016 00:00,01/01/2049 00:00
A,5277262,6012109-2/P,FALSE,920,460,21/05/2016 00:00,01/01/2049 00:00
A,5473566,6012114-1/P,FALSE,"1.108,60","554,3",06/10/2016 00:00,01/01/2049 00:00
A,5277256,6012114,FALSE,"1.108,60","554,3",21/05/2016 00:00,01/01/2049 00:00
A,5277257,6012114-2/P,FALSE,"1.108,60","554,3",21/05/2016 00:00,01/01/2049 00:00
A,5473598,6012106-2/P,FALSE,"1.026,40","513,2",06/10/2016 00:00,01/01/2049 00:00
A,5277264,6012106,FALSE,"1.026,40","513,2",21/05/2016 00:00,01/01/2049 00:00
A,5277260,6012112,FALSE,"962,4","481,2",21/05/2016 00:00,01/01/2049 00:00
A,5473602,6012112-2/P,TRUE,"962,4","481,2",06/10/2016 00:00,01/01/2049 00:00
A,5473604,6012113-1,TRUE,"1.057,20","528,6",06/10/2016 00:00,01/01/2049 00:00
A,5277263,6012113,FALSE,"1.057,20","528,6",21/05/2016 00:00,01/01/2049 00:00
A,5473605,6012116-1,FALSE,874,437,06/10/2016 00:00,01/01/2049 00:00
A,5277258,6012116,FALSE,874,437,21/05/2016 00:00,01/01/2049 00:00
A,5277259,6012116-2,FALSE,874,437,21/05/2016 00:00,01/01/2049 00:00
A,5484778,P12138-1/7,FALSE,"10,2","2,99",20/10/2016 00:00,01/01/2049 00:00
A,5277265,P12138-1/6,FALSE,"10,2","2,99",20/10/2016 00:00,01/01/2049 00:00
A,5474270,1074-26,TRUE,"18,515","16,1",03/01/2017 00:00,01/01/2049 00:00
A,2251510,1074,TRUE,"16,1",14,08/03/2015 00:00,01/01/2049 00:00
A,4024177,1074-1,TRUE,"16,1",14,08/03/2015 00:00,01/01/2049 00:00
A,4024178,1074-2,TRUE,"16,1",14,08/03/2015 00:00,01/01/2049 00:00
A,4024179,1074-8,TRUE,"16,1",14,08/03/2015 00:00,01/01/2049 00:00
A,5662142,6010193,TRUE,59,49,03/01/2017 00:00,01/01/2049 00:00
A,5662143,6010193-2,TRUE,59,49,03/01/2017 00:00,01/01/2049 00:00
A,5662144,6010193-3,FALSE,59,49,03/01/2017 00:00,01/01/2049 00:00
A,5662145,6010193-4,TRUE,59,49,03/01/2017 00:00,01/01/2049 00:00
A,5662146,6010193-34,TRUE,59,49,03/01/2017 00:00,01/01/2049 00:00
A,4027393,1077-1,TRUE,"9,545","8,3",08/03/2015 00:00,01/01/2049 00:00
A,4027394,1077-2,FALSE,"9,545","8,3",08/03/2015 00:00,01/01/2049 00:00
A,2251512,1077,TRUE,"9,545","8,3",08/03/2015 00:00,01/01/2049 00:00
A,2251513,1075,TRUE,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
A,4024182,1075-1,TRUE,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
A,4024183,1075-2,TRUE,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
A,4024184,1075-8,FALSE,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
A,5474272,1075-26,TRUE,"15,87","13,8",03/01/2017 00:00,01/01/2049 00:00
A,5533857,p1076e,FALSE,25,"7,5",03/01/2017 00:00,01/01/2049 00:00
A,5533859,p1076e-1,FALSE,25,"7,5",03/01/2017 00:00,01/01/2049 00:00
A,5488359,6010233,TRUE,56,47,26/10/2016 00:00,01/01/2049 00:00
A,5488360,6010233-1,TRUE,56,47,26/10/2016 00:00,01/01/2049 00:00
A,5488367,6010233-26,TRUE,"64,86","54,05",26/10/2016 00:00,01/01/2049 00:00
A,3806224,1079,TRUE,"12,1","9,35",08/03/2015 00:00,01/01/2049 00:00
A,4024657,1079-1,TRUE,"12,1","9,35",08/03/2015 00:00,01/01/2049 00:00
A,4024658,1080-1,TRUE,12,"10,2",08/03/2015 00:00,01/01/2049 00:00
A,3806223,1080,TRUE,12,"10,2",08/03/2015 00:00,01/01/2049 00:00
A,5623425,601460-1/1,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623426,601460-1/15,FALSE,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
A,5623427,601460-1/2,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623428,601460-1/27,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623429,601460-1/28,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623430,601460-1/29,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623431,601460-1/30,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,5623432,601460-26/1,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623433,601460-26/15,FALSE,"22,54","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623434,601460-26/2,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623435,601460-26/27,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623436,601460-26/28,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623437,601460-26/29,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5623438,601460-26/30,TRUE,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5597400,601460,TRUE,23,17,03/01/2017 00:00,01/01/2049 00:00
A,2251520,1428,TRUE,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
A,4027358,1428-1,TRUE,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
A,4027359,1428-8,FALSE,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
A,5475042,1428-26,TRUE,"16,1",14,03/01/2017 00:00,01/01/2049 00:00
A,5475041,1427-26,FALSE,"12,765","11,1",03/01/2017 00:00,01/01/2049 00:00
A,2251521,1427,TRUE,"11,04","9,6",08/03/2015 00:00,01/01/2049 00:00
A,4024187,1427-1,TRUE,"11,04","9,6",08/03/2015 00:00,01/01/2049 00:00
A,4024188,P1427-8,TRUE,"9,6","2,88",03/01/2017 00:00,01/01/2049 00:00
A,5623402,601459-1/1,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623403,601459-1/15,FALSE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623404,601459-1/2,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623405,601459-1/27,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623406,601459-1/28,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623407,601459-1/29,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623408,601459-1/30,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5623409,601459-2/1,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623410,601459-2/15,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623411,601459-2/2,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623412,601459-2/27,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623413,601459-2/28,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623414,601459-2/29,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623415,601459-2/30,FALSE,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
A,5623416,601459-26/1,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623417,601459-26/15,FALSE,"21,16","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623418,601459-26/2,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623419,601459-26/27,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623420,601459-26/28,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623421,601459-26/29,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5623422,601459-26/30,TRUE,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
A,5597398,601459,TRUE,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
A,5277255,6012168a,FALSE,"7,2","3,6",21/05/2016 00:00,01/01/2049 00:00
A,5277254,6012167a,FALSE,"10,2","5,2",21/05/2016 00:00,01/01/2049 00:00
A,2251529,1131,TRUE,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
A,4024272,1131-2,TRUE,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
A,4024273,1131-8,TRUE,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
A,5474329,1131-26,TRUE,169,"126,5",25/03/2015 00:00,01/01/2049 00:00
A,5484402,p1131,FALSE,110,33,20/10/2016 00:00,01/01/2049 00:00
A,5484411,p1131-2,FALSE,110,33,03/01/2017 00:00,01/01/2049 00:00
A,5484437,p1131-8,FALSE,110,33,03/01/2017 00:00,01/01/2049 00:00
A,5263496,6013182,TRUE,38,21,04/05/2016 00:00,01/01/2049 00:00
A,5263502,6013182-1/1,TRUE,38,21,04/05/2016 00:00,01/01/2049 00:00
A,5263552,6013182-2/2,TRUE,38,21,04/05/2016 00:00,01/01/2049 00:00
A,5263677,P6013182-8/1,FALSE,21,"6,3",03/01/2017 00:00,01/01/2049 00:00
A,5263680,6013182-26/2,TRUE,"48,4","24,2",06/10/2016 00:00,01/01/2049 00:00
A,5473915,6013182-26/1,FALSE,"48,4","24,2",04/05/2016 00:00,01/01/2049 00:00
A,5648259,P6013182-8/2,FALSE,21,"6,3",03/01/2017 00:00,01/01/2049 00:00
A,5264439,6013183,TRUE,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
A,5264441,6013183-1/1,TRUE,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
A,5264444,6013183-2/2,TRUE,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
A,5264447,6013183-26/1,TRUE,"55,2","27,6",06/10/2016 00:00,01/01/2049 00:00
A,5264449,6013183-26/2,TRUE,"55,2","27,6",06/10/2016 00:00,01/01/2049 00:00
A,5263436,6013181,TRUE,36,19,04/05/2016 00:00,01/01/2049 00:00
A,5263453,6013181-1/1,TRUE,36,19,04/05/2016 00:00,01/01/2049 00:00
A,5263472,6013181-2/2,TRUE,36,19,04/05/2016 00:00,01/01/2049 00:00
A,5263480,6013181-26/1,TRUE,"43,8","21,9",06/10/2016 00:00,01/01/2049 00:00
A,5263488,6013181-26/2,TRUE,"43,8","21,9",06/10/2016 00:00,01/01/2049 00:00
A,5648260,P6013181-8/1,TRUE,19,"5,7",03/01/2017 00:00,01/01/2049 00:00
A,5648261,P6013181-8/2,TRUE,19,"5,7",03/01/2017 00:00,01/01/2049 00:00
A,5649413,6013181-25/1,TRUE,"43,8","21,9",26/05/2017 00:00,01/01/2049 00:00
A,5600070,6012260,TRUE,"145,48","126,5",01/03/2017 00:00,01/01/2049 00:00
A,5621925,6012260-1,FALSE,"126,5",110,01/03/2017 00:00,01/01/2049 00:00
A,5621926,6012260-26,TRUE,"145,48","126,5",01/03/2017 00:00,01/01/2049 00:00
A,5685925,6012276-1,FALSE,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
A,5685926,6012276-2,FALSE,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
A,5685927,6012276-26,FALSE,"31,74","27,6",03/01/2017 00:00,01/01/2049 00:00
A,5600092,6012276,FALSE,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
A,5474337,1223-26,TRUE,"34,9","26,5",24/03/2016 12:00,01/01/2049 00:00
A,2251590,1223,TRUE,31,23,24/03/2016 12:00,01/01/2049 00:00
A,4024448,1223-1,TRUE,31,23,24/03/2016 12:00,01/01/2049 00:00
A,4024449,1223-8,FALSE,31,23,24/03/2016 12:00,01/01/2049 00:00
A,4024450,1224-1,TRUE,33,29,24/03/2016 12:00,01/01/2049 00:00
A,4024451,1224-8,FALSE,33,29,24/03/2016 12:00,01/01/2049 00:00
A,2251591,1224,TRUE,33,29,24/03/2016 12:00,01/01/2049 00:00
A,5474340,1224-26,TRUE,"39,5","33,4",24/03/2016 12:00,01/01/2049 00:00
A,5600093,6012277,FALSE,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
A,5685928,6012277-1,FALSE,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
A,5685929,6012277-2,FALSE,"29,9",26,03/01/2017 00:00,01/01/2049 00:00
A,5685930,6012277-26,FALSE,"34,39","29,9",03/01/2017 00:00,01/01/2049 00:00
A,5685922,6012275-1,FALSE,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
A,5685923,6012275-2,FALSE,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
A,5685924,6012275-26,FALSE,"22,54","19,6",03/01/2017 00:00,01/01/2049 00:00
A,5600091,6012275,FALSE,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
A,5474335,1222-26,TRUE,"19,9","17,3",24/03/2016 12:00,01/01/2049 00:00
A,2251592,1222,TRUE,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
A,4024452,1222-1,TRUE,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
A,4024453,1222-8,FALSE,"17,9",15,24/03/2016 12:00,01/01/2049 00:00
A,4205405,COMBO1223,TRUE,"69,9","34,9",24/03/2016 12:00,01/01/2049 00:00
