Comando,IDProduto,CodProd,Disponivel,Preco,PrecoProm,DataPromInicio,DataPromFim
A,5476182,COMBO1 ST - 26,TRUE,328,272,24/03/2016 12:00,01/01/2049 00:00
A,4298760,10110-1,TRUE,34,25,07/04/2016 00:00,01/01/2049 00:00
A,4298762,10110-8,TRUE,34,24,07/04/2016 00:00,01/01/2049 00:00
A,4298756,10110,FALSE,34,25,07/04/2016 00:00,01/01/2049 00:00
A,5474326,10110-26,FALSE,"37,9",25,07/04/2016 00:00,01/01/2049 00:00
A,5533789,6010172,TRUE,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
A,5533791,6010172-1,TRUE,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
A,5533795,6010172-26,TRUE,"27,6",24,15/12/2016 00:00,01/01/2049 00:00
A,5536716,6010172-2,TRUE,"27,6",24,20/12/2016 00:00,01/01/2049 00:00
A,5533054,6010171,TRUE,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
A,5533056,6010171-1,TRUE,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
A,5533060,6010171-26,TRUE,"29,9",23,14/12/2016 00:00,01/01/2049 00:00
A,5536715,6010171-2,TRUE,"29,9",23,20/12/2016 00:00,01/01/2049 00:00
A,4298757,10109-1,TRUE,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
A,4298758,10109-2,TRUE,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
A,4298759,10109-8,TRUE,"28,6",22,07/04/2016 00:00,01/01/2049 00:00
A,4298755,10109,TRUE,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
A,5474324,10109-26,FALSE,"28,6",24,07/04/2016 00:00,01/01/2049 00:00
A,5474779,1084-26,TRUE,"125,35",109,03/01/2017 00:00,01/01/2049 00:00
A,4768888,1084,TRUE,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
A,4768890,1084-1,TRUE,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
A,4768892,1084-8,TRUE,"142,2","94,8",07/04/2016 00:00,01/01/2049 00:00
A,4768872,p1013,TRUE,"127,9","97,1",08/03/2015 00:00,01/01/2049 00:00
A,4768873,1013-1,TRUE,"127,9","97,1",08/03/2015 00:00,01/01/2049 00:00
A,4768874,p1013-8,FALSE,"97,1","29,13",03/01/2017 00:00,01/01/2049 00:00
A,5474763,1013-26,TRUE,"128,455","111,7",03/01/2017 00:00,01/01/2049 00:00
