"IDProduto não encontrado","A","Cook Premium",0,"6013266-2/2","Cook Premium Kit 2 Preto/Preto",0,57,"Cook Premium Kit 2 Preto/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_2_2a.jpg,6013266_2_2b.jpg","6013266_2_2a.jpg,6013266_2_2b.jpg","","","","","","","",38710,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-25/1","Cook Premium Kit 2 Cobre/Branco",0,57,"Cook Premium Kit 2 Cobre/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_25_1a.jpg,6013266_25_1b.jpg","6013266_25_1a.jpg,6013266_25_1b.jpg","","","","","","","",66757,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-25/2","Cook Premium Kit 2 Cobre/Preto",0,57,"Cook Premium Kit 2 Cobre/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_25_2a.jpg,6013266_25_2b.jpg","6013266_25_2a.jpg,6013266_25_2b.jpg","","","","","","","",66758,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013266-26/30","Cook Premium Kit 2 Eco Metalic/Pitanga",0,57,"Cook Premium Kit 2 Eco Metalic/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013266_26_30a.jpg,6013266_26_30b.jpg","6013266_26_30a.jpg,6013266_26_30b.jpg","","","","","","","",66762,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,20,8,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-1/1","Cook Premium Kit 3 Branco/Branco",1,15,"Cook Premium Kit 3 Branco/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_1_1a.jpg,6013267_1_1b.jpg","6013267_1_1a.jpg,6013267_1_1b.jpg","","","","","","","",38374,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-1/27","Cook Premium Kit 3 Branco/Lavanda",1,15,"Cook Premium Kit 3 Branco/Lavanda","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_1_27a.jpg,6013267_1_27b.jpg","6013267_1_27a.jpg,6013267_1_27b.jpg","","","","","","","",66755,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-1/28","Cook Premium Kit 3 Branco/IpÃª",1,15,"Cook Premium Kit 3 Branco/IpÃª","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_1_28a.jpg,6013267_1_28b.jpg","6013267_1_28a.jpg,6013267_1_28b.jpg","","","","","","","",66753,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-1/29","Cook Premium Kit 3 Branco/Alecrim",1,15,"Cook Premium Kit 3 Branco/Alecrim","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_1_29a.jpg,6013267_1_29b.jpg","6013267_1_29a.jpg,6013267_1_29b.jpg","","","","","","","",66754,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-1/30","Cook Premium Kit 3 Branco/Pitanga",1,15,"Cook Premium Kit 3 Branco/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_1_30a.jpg,6013267_1_30b.jpg","6013267_1_30a.jpg,6013267_1_30b.jpg","","","","","","","",66756,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-2/2","Cook Premium Kit 3 Preto/Preto",1,15,"Cook Premium Kit 3 Preto/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_2_2a.jpg,6013267_2_2b.jpg","6013267_2_2a.jpg,6013267_2_2b.jpg","","","","","","","",38710,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
