IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
2251512,1077,"9,545","8,3",08/03/2015 00:00,01/01/2049 00:00
2251513,1075,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
4024182,1075-1,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
4024183,1075-2,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
4024184,1075-8,"13,8",12,08/03/2015 00:00,01/01/2049 00:00
5474272,1075-26,"15,87","13,8",03/01/2017 00:00,01/01/2049 00:00
5533857,p1076e,25,"7,5",03/01/2017 00:00,01/01/2049 00:00
5533859,p1076e-1,25,"7,5",03/01/2017 00:00,01/01/2049 00:00
5488359,6010233,56,47,26/10/2016 00:00,01/01/2049 00:00
5488360,6010233-1,56,47,26/10/2016 00:00,01/01/2049 00:00
5488367,6010233-26,"64,86","54,05",26/10/2016 00:00,01/01/2049 00:00
3806224,1079,"12,1","9,35",08/03/2015 00:00,01/01/2049 00:00
4024657,1079-1,"12,1","9,35",08/03/2015 00:00,01/01/2049 00:00
4024658,1080-1,12,"10,2",08/03/2015 00:00,01/01/2049 00:00
3806223,1080,12,"10,2",08/03/2015 00:00,01/01/2049 00:00
5623425,601460-1/1,23,17,03/01/2017 00:00,01/01/2049 00:00
5623426,601460-1/15,"19,55",17,03/01/2017 00:00,01/01/2049 00:00
5623427,601460-1/2,23,17,03/01/2017 00:00,01/01/2049 00:00
5623428,601460-1/27,23,17,03/01/2017 00:00,01/01/2049 00:00
5623429,601460-1/28,23,17,03/01/2017 00:00,01/01/2049 00:00
5623430,601460-1/29,23,17,03/01/2017 00:00,01/01/2049 00:00
5623431,601460-1/30,23,17,03/01/2017 00:00,01/01/2049 00:00
5623432,601460-26/1,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5623433,601460-26/15,"22,54","19,6",03/01/2017 00:00,01/01/2049 00:00
5623434,601460-26/2,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5623435,601460-26/27,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5623436,601460-26/28,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5623437,601460-26/29,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5623438,601460-26/30,"27,8","19,6",03/01/2017 00:00,01/01/2049 00:00
5597400,601460,23,17,03/01/2017 00:00,01/01/2049 00:00
2251520,1428,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
4027358,1428-1,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
4027359,1428-8,"13,915","12,1",08/03/2015 00:00,01/01/2049 00:00
5475042,1428-26,"16,1",14,03/01/2017 00:00,01/01/2049 00:00
5475041,1427-26,"12,765","11,1",03/01/2017 00:00,01/01/2049 00:00
2251521,1427,"11,04","9,6",08/03/2015 00:00,01/01/2049 00:00
4024187,1427-1,"11,04","9,6",08/03/2015 00:00,01/01/2049 00:00
4024188,P1427-8,"9,6","2,88",03/01/2017 00:00,01/01/2049 00:00
5623402,601459-1/1,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623403,601459-1/15,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623404,601459-1/2,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623405,601459-1/27,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623406,601459-1/28,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623407,601459-1/29,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623408,601459-1/30,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5623409,601459-2/1,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623410,601459-2/15,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623411,601459-2/2,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623412,601459-2/27,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623413,601459-2/28,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623414,601459-2/29,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623415,601459-2/30,"18,4",16,03/01/2017 00:00,01/01/2049 00:00
5623416,601459-26/1,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5623417,601459-26/15,"21,16","18,4",03/01/2017 00:00,01/01/2049 00:00
5623418,601459-26/2,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5623419,601459-26/27,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5623420,601459-26/28,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5623421,601459-26/29,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5623422,601459-26/30,"21,9","18,4",03/01/2017 00:00,01/01/2049 00:00
5597398,601459,"19,9",16,03/01/2017 00:00,01/01/2049 00:00
5277255,6012168a,"7,2","3,6",21/05/2016 00:00,01/01/2049 00:00
5277254,6012167a,"10,2","5,2",21/05/2016 00:00,01/01/2049 00:00
2251529,1131,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
4024272,1131-2,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
4024273,1131-8,"152,86",110,25/03/2015 00:00,01/01/2049 00:00
5474329,1131-26,169,"126,5",25/03/2015 00:00,01/01/2049 00:00
5484402,p1131,110,33,20/10/2016 00:00,01/01/2049 00:00
5484411,p1131-2,110,33,03/01/2017 00:00,01/01/2049 00:00
5484437,p1131-8,110,33,03/01/2017 00:00,01/01/2049 00:00
5263496,6013182,38,21,04/05/2016 00:00,01/01/2049 00:00
5263502,6013182-1/1,38,21,04/05/2016 00:00,01/01/2049 00:00
