ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,DESCRLONGA,DESCRURL,URLTARGET,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,ICMS,CUSTO,PRECO,PRECOPROM,PRECOB2B,PRECOB2BPROM,DATAPROMINICIO,DATAPROMFIM,LANCAMENTO,EMDESTAQUE,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONALD1,ADICIONALD2,ADICIONALD3,CORES,ORDEMPROD,IDPRODUTOPAI,RAMOPROD,MAISPROD,DATAVENCIMENTO,DIASAVISOVENCIMENTO,DIASREPOSICAO,IDPARCEIROPROD,DESCRHTM,METAKEYWORDSPROD,MAXPARCELASPROD,XMLPARCELASPROD,CODBARRASPROD,EMBALAVEL,ISPRODUTOGRANDE,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,CODVIDEO,PRODMPN,TITLEPROD,URLPROD,METADESCRIPTIONPROD,VENDACONJUNTA,IDSFILTROITEM
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto n�o encontrado","A","Cabides",0,"6010196-5","Cabide de Veludo Kids - kit com 10 unidades - Azul",0,4,"Cabide de Veludo Kids - kit com 10 unidades - Azul","","",False,10,5,False,0,0,49,39,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","","",0,"",0,"","",0,0,"","","",0,0,"",True,False,28,17,5,0,3,"","A","","","","",""
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto n�o encontrado","A","Cabides",0,"6010197-35","Cabides De Madeira com Antideslizantes - Kit com 3 unidades - Marfim",0,4,"Cabides De Madeira com Antideslizantes - Kit com 3 unidades - Marfim","","",False,80,5,False,0,0,34,9,24,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","","",0,"",0,"","",0,0,"","","",0,0,"",True,False,44,7,23,1,"","A","","","","",""
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto n�o encontrado","A","Kits para Cozinha",0,"6013276-1","Kit 5 peças para Armário de Cozinha",1,45,"Kit 5 peças para Armário de Cozinha","","",False,1000,5,False,0,0,118,9,98,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto n�o encontrado","A","Kits para Cozinha",0,"6013276-26","Kit 5 peças para Armário de Cozinha",1,45,"Kit 5 peças para Armário de Cozinha","","",False,1000,5,False,0,0,136,9,113,8,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto n�o encontrado","A","Sapateiras",0,"","Sapateira Ajustável de 12 pares para Porta",1,45,"Sapateira Ajustável de 12 pares para Porta","","",False,1000,5,False,0,0,118,9,98,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto n�o encontrado","A","Sapateiras",0,"","Sapateira Ajustável de 12 pares para Porta",1,45,"Sapateira Ajustável de 12 pares para Porta","","",False,1000,5,False,0,0,118,9,98,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"Comando inv�lido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDProduto n�o encontrado","A","Sapateiras",0,"","Sapateira Ajustável de 18 pares para Porta",1,45,"Sapateira Ajustável de 18 pares para Porta","","",False,1000,5,False,0,0,118,9,98,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
"IDProduto n�o encontrado","A","Sapateiras",0,"","Sapateira Ajustável de 18 pares para Porta",1,45,"Sapateira Ajustável de 18 pares para Porta","","",False,1000,5,False,0,0,118,9,98,9,0,0,"03/01/2017","1/1/2049",True,True,"","","","","","","","","",7250,0,"",0,"","",0,0,"","","",0,0,"",True,False,0,0,0,"","A","","","","",""
