ERRO,COMANDO,NOMECAT,IDPRODUTO,CODPROD,NOMEPROD,PESO,DESCRICAO,ESTOQUE,ESTOQUEMINIMO,DISPONIVEL,PRECO,PRECOPROM,DATAPROMINICIO,DATAPROMFIM,IMAGEMPROD,IMAGEMDET,IMAGEMAMP,CORES,IDPRODUTOPAI,LARGURAPROD,ALTURAPROD,PROFUNDIDADEPROD,PRODMPN
"IDProduto não encontrado","A","Escorredores de prato",0,"P13143-8/1","Escorredor Maximus",2,"Escorredor Maximus",18,0,True,37,11,1,"03/01/2017","1/1/2049","","","",37375,"",26,5,21,5,40,"A"
"IDProduto não encontrado","A","Escorredores de prato",0,"P13143-8/2","Escorredor Maximus",2,"Escorredor Maximus",3,0,True,37,11,1,"03/01/2017","1/1/2049","","","",37375,"",26,5,21,5,40,"A"
"IDProduto não encontrado","A","Space Savers",0,"P13144-8","Separador de Prateleira - 1 unidade",0,3,"Separador de Prateleira - 1 unidade",382,0,True,20,6,"03/01/2017","1/1/2049","13144_8.JPG","13144_8.JPG","13144_8.JPG",12321,"",2,20,27,"A"
